carrier;carrier_name;airport;airport_name;arr_flights;arr_del15; arr_delay;arr_cancelled;;;;Legtöbb járat szám;;;;;;;;;;;
F9;Frontier Airlines Inc.;MKE;Milwaukee; WI: General Mitchell International;96;0;13;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MSN;Madison; WI: Dane County Regional-Truax Field;39;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MSO;Missoula; MT: Missoula International;14;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MSP;Minneapolis; MN: Minneapolis-St Paul International;160;0;29;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MSY;New Orleans; LA: Louis Armstrong New Orleans International;81;0;44797;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MYR;Myrtle Beach; SC: Myrtle Beach International;40;0;8;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;OKC;Oklahoma City; OK: Will Rogers World;25;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;OMA;Omaha; NE: Eppley Airfield;32;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ONT;Ontario; CA: Ontario International;44;0;8;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ORD;Chicago; IL: Chicago O'Hare International;262;0;51;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ORF;Norfolk; VA: Norfolk International;31;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PBI;West Palm Beach/Palm Beach; FL: Palm Beach International;38;2;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PDX;Portland; OR: Portland International;56;0;44792;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PHL;Philadelphia; PA: Philadelphia International;503;0;109;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PHX;Phoenix; AZ: Phoenix Sky Harbor International;136;0;27;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PIT;Pittsburgh; PA: Pittsburgh International;13;0;44608;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PNS;Pensacola; FL: Pensacola International;33;0;44795;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PSM;Portsmouth; NH: Portsmouth International at Pease;13;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PSP;Palm Springs; CA: Palm Springs International;12;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PVD;Providence; RI: Theodore Francis Green State;54;0;11;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;PWM;Portland; ME: Portland International Jetport;40;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;RDU;Raleigh/Durham; NC: Raleigh-Durham International;372;0;45;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;RNO;Reno; NV: Reno/Tahoe International;9;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;RSW;Fort Myers; FL: Southwest Florida International;111;0;12;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SAN;San Diego; CA: San Diego International;146;0;12;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SAT;San Antonio; TX: San Antonio International;114;0;16;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SAV;Savannah; GA: Savannah/Hilton Head International;23;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SBA;Santa Barbara; CA: Santa Barbara Municipal;13;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SDF;Louisville; KY: Louisville Muhammad Ali International;18;0;44607;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SEA;Seattle; WA: Seattle/Tacoma International;82;0;13;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SFO;San Francisco; CA: San Francisco International;117;0;23;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SJC;San Jose; CA: Norman Y. Mineta San Jose International;34;0;7;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SJU;San Juan; PR: Luis Munoz Marin International;93;0;12;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SLC;Salt Lake City; UT: Salt Lake City International;109;0;23;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SMF;Sacramento; CA: Sacramento International;49;0;15;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SNA;Santa Ana; CA: John Wayne Airport-Orange County;60;0;6;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;9;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;STL;St. Louis; MO: St Louis Lambert International;124;0;44581;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;SYR;Syracuse; NY: Syracuse Hancock International;53;0;44761;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TPA;Tampa; FL: Tampa International;244;1;20;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TTN;Trenton; NJ: Trenton Mercer;274;2;53;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TUL;Tulsa; OK: Tulsa International;17;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;TYS;Knoxville; TN: McGhee Tyson;15;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;ABE;Allentown/Bethlehem/Easton; PA: Lehigh Valley International;95;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;ABQ;Albuquerque; NM: Albuquerque International Sunport;18;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;ALB;Albany; NY: Albany International;35;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;ANC;Anchorage; AK: Ted Stevens Anchorage International;3;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;ATW;Appleton; WI: Appleton International;36;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;AUS;Austin; TX: Austin - Bergstrom International;83;1;3;;;;;;;;;;;;;;;
G4;Allegiant Air;AVL;Asheville; NC: Asheville Regional;209;3;18;;;;;;;;;;;;;;;
G4;Allegiant Air;AZA;Phoenix; AZ: Phoenix - Mesa Gateway;428;1;81;;;;;;;;;;;;;;;
G4;Allegiant Air;BGR;Bangor; ME: Bangor International;31;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;BIL;Billings; MT: Billings Logan International;19;1;4;;;;;;;;;;;;;;;
G4;Allegiant Air;BIS;Bismarck/Mandan; ND: Bismarck Municipal;33;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;BLI;Bellingham; WA: Bellingham International;139;0;44654;;;;;;;;;;;;;;;
G4;Allegiant Air;BLV;Belleville; IL: Scott AFB/MidAmerica;95;1;5;;;;;;;;;;;;;;;
G4;Allegiant Air;BMI;Bloomington/Normal; IL: Central Il Regional Airport at Bloomington;19;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;BNA;Nashville; TN: Nashville International;68;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;BOI;Boise; ID: Boise Air Terminal;22;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;41;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;BZN;Bozeman; MT: Bozeman Yellowstone International;18;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;CHA;Chattanooga; TN: Lovell Field;19;0;44604;;;;;;;;;;;;;;;
G4;Allegiant Air;CHS;Charleston; SC: Charleston AFB/International;27;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;CID;Cedar Rapids/Iowa City; IA: The Eastern Iowa;55;0;44647;;;;;;;;;;;;;;;
G4;Allegiant Air;CKB;Clarksburg/Fairmont; WV: North Central West Virginia;10;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;CLE;Cleveland; OH: Cleveland-Hopkins International;76;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;317;0;26;;;;;;;;;;;;;;;
G4;Allegiant Air;DAY;Dayton; OH: James M Cox/Dayton International;18;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;DEN;Denver; CO: Denver International;21;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;DSM;Des Moines; IA: Des Moines International;73;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;ELM;Elmira/Corning; NY: Elmira/Corning Regional;25;0;44604;;;;;;;;;;;;;;;
G4;Allegiant Air;ELP;El Paso; TX: El Paso International;16;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;EUG;Eugene; OR: Mahlon Sweet Field;39;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;EVV;Evansville; IN: Evansville Regional;14;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;EWR;Newark; NJ: Newark Liberty International;71;1;0;;;;;;;;;;;;;;;
G4;Allegiant Air;FAR;Fargo; ND: Hector International;35;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;FAT;Fresno; CA: Fresno Yosemite International;50;0;44731;;;;;;;;;;;;;;;
G4;Allegiant Air;FCA;Kalispell; MT: Glacier Park International;14;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;282;1;33;;;;;;;;;;;;;;;
G4;Allegiant Air;FNT;Flint; MI: Bishop International;48;1;3;;;;;;;;;;;;;;;
G4;Allegiant Air;FSD;Sioux Falls; SD: Joe Foss Field;55;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;FWA;Fort Wayne; IN: Fort Wayne International;49;1;44563;;;;;;;;;;;;;;;
G4;Allegiant Air;GFK;Grand Forks; ND: Grand Forks International;15;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;GJT;Grand Junction; CO: Grand Junction Regional;18;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;GPT;Gulfport/Biloxi; MS: Gulfport-Biloxi International;9;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;GRI;Grand Island; NE: Central Nebraska Regional;20;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;GRR;Grand Rapids; MI: Gerald R. Ford International;112;0;44640;;;;;;;;;;;;;;;
G4;Allegiant Air;GSO;Greensboro/High Point; NC: Piedmont Triad International;20;0;44570;;;;;;;;;;;;;;;
G4;Allegiant Air;GSP;Greer; SC: Greenville-Spartanburg International;35;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;GTF;Great Falls; MT: Great Falls International;18;1;1;;;;;;;;;;;;;;;
G4;Allegiant Air;HGR;Hagerstown; MD: Hagerstown Regional-Richard A. Henson Field;14;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;HTS;Ashland; WV: Tri-State/Milton J. Ferguson Field;54;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;IAG;Niagara Falls; NY: Niagara Falls International;32;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;23;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;IDA;Idaho Falls; ID: Idaho Falls Regional;21;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;IND;Indianapolis; IN: Indianapolis International;167;3;22;;;;;;;;;;;;;;;
G4;Allegiant Air;JAX;Jacksonville; FL: Jacksonville International;56;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;LAS;Las Vegas; NV: McCarran International;796;0;79;;;;;;;;;;;;;;;
G4;Allegiant Air;LAX;Los Angeles; CA: Los Angeles International;100;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;LCK;Columbus; OH: Rickenbacker International;105;0;44680;;;;;;;;;;;;;;;
G4;Allegiant Air;LEX;Lexington; KY: Blue Grass;70;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;15;0;44568;;;;;;;;;;;;;;;
G4;Allegiant Air;LRD;Laredo; TX: Laredo International;9;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;MCI;Kansas City; MO: Kansas City International;32;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;MDT;Harrisburg; PA: Harrisburg International;74;1;3;;;;;;;;;;;;;;;
G4;Allegiant Air;MEM;Memphis; TN: Memphis International;87;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;MFE;Mission/McAllen/Edinburg; TX: McAllen Miller International;37;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;MFR;Medford; OR: Rogue Valley International - Medford;20;0;3;;;;;;;;;;;;;;;
G4;Allegiant Air;MKE;Milwaukee; WI: General Mitchell International;12;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;MLI;Moline; IL: Quad City International;36;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;MOT;Minot; ND: Minot International;22;1;2;;;;;;;;;;;;;;;
G4;Allegiant Air;MRY;Monterey; CA: Monterey Regional;9;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;MSO;Missoula; MT: Missoula International;23;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;MSY;New Orleans; LA: Louis Armstrong New Orleans International;43;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;MYR;Myrtle Beach; SC: Myrtle Beach International;100;0;8;;;;;;;;;;;;;;;
G4;Allegiant Air;OAK;Oakland; CA: Metropolitan Oakland International;79;0;11;;;;;;;;;;;;;;;
G4;Allegiant Air;OGD;Ogden; UT: Ogden-Hinckley;9;0;44582;;;;;;;;;;;;;;;
G4;Allegiant Air;OGS;Ogdensburg; NY: Ogdensburg International;6;1;0;;;;;;;;;;;;;;;
G4;Allegiant Air;OKC;Oklahoma City; OK: Will Rogers World;43;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;OMA;Omaha; NE: Eppley Airfield;33;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;ORF;Norfolk; VA: Norfolk International;34;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;OWB;Owensboro; KY: Owensboro Daviess County Regional;11;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;PBG;Plattsburgh; NY: Plattsburgh International;29;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;PGD;Punta Gorda; FL: Punta Gorda Airport;394;0;38;;;;;;;;;;;;;;;
G4;Allegiant Air;PIA;Peoria; IL: General Downing - Peoria International;60;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;PIE;St. Petersburg; FL: St Pete Clearwater International;683;6;42;;;;;;;;;;;;;;;
G4;Allegiant Air;PIT;Pittsburgh; PA: Pittsburgh International;122;0;9;;;;;;;;;;;;;;;
G4;Allegiant Air;PSC;Pasco/Kennewick/Richland; WA: Tri Cities;20;0;44626;;;;;;;;;;;;;;;
G4;Allegiant Air;PSM;Portsmouth; NH: Portsmouth International at Pease;20;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;PSP;Palm Springs; CA: Palm Springs International;15;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;PVD;Providence; RI: Theodore Francis Green State;9;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;PVU;Provo; UT: Provo Municipal;63;0;44775;;;;;;;;;;;;;;;
G4;Allegiant Air;RAP;Rapid City; SD: Rapid City Regional;25;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;RDU;Raleigh/Durham; NC: Raleigh-Durham International;31;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;RFD;Rockford; IL: Chicago/Rockford International;55;0;44645;;;;;;;;;;;;;;;
G4;Allegiant Air;RIC;Richmond; VA: Richmond International;36;0;44620;;;;;;;;;;;;;;;
G4;Allegiant Air;RNO;Reno; NV: Reno/Tahoe International;29;0;44684;;;;;;;;;;;;;;;
G4;Allegiant Air;ROA;Roanoke; VA: Roanoke Blacksburg Regional Woodrum Field;25;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;ROC;Rochester; NY: Greater Rochester International;11;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;SAN;San Diego; CA: San Diego International;23;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;SAT;San Antonio; TX: San Antonio International;18;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;SAV;Savannah; GA: Savannah/Hilton Head International;90;0;5;;;;;;;;;;;;;;;
G4;Allegiant Air;SBN;South Bend; IN: South Bend International;53;1;2;;;;;;;;;;;;;;;
G4;Allegiant Air;SCK;Stockton; CA: Stockton Metropolitan;70;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;SDF;Louisville; KY: Louisville Muhammad Ali International;85;0;5;;;;;;;;;;;;;;;
G4;Allegiant Air;SFB;Sanford; FL: Orlando Sanford International;946;0;113;;;;;;;;;;;;;;;
G4;Allegiant Air;SGF;Springfield; MO: Springfield-Branson National;78;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;SHV;Shreveport; LA: Shreveport Regional;22;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;SJU;San Juan; PR: Luis Munoz Marin International;9;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;SMX;Santa Maria; CA: Santa Maria Public/Capt. G. Allan Hancock Field;15;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;SPI;Springfield; IL: Abraham Lincoln Capital;9;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;115;0;21;;;;;;;;;;;;;;;
G4;Allegiant Air;STC;St. Cloud; MN: St. Cloud Regional;4;0;0;;;;;;;;;;;;;;;
G4;Allegiant Air;SWF;Newburgh/Poughkeepsie; NY: New York Stewart International;34;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;SYR;Syracuse; NY: Syracuse Hancock International;63;0;4;;;;;;;;;;;;;;;
G4;Allegiant Air;TOL;Toledo; OH: Toledo Express;31;0;1;;;;;;;;;;;;;;;
G4;Allegiant Air;TRI;Bristol/Johnson City/Kingsport; TN: Tri Cities;13;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;TUL;Tulsa; OK: Tulsa International;35;1;0;;;;;;;;;;;;;;;
G4;Allegiant Air;TUS;Tucson; AZ: Tucson International;9;0;2;;;;;;;;;;;;;;;
G4;Allegiant Air;TYS;Knoxville; TN: McGhee Tyson;169;0;44787;;;;;;;;;;;;;;;
G4;Allegiant Air;USA;Concord; NC: Concord Padgett Regional;122;0;5;;;;;;;;;;;;;;;
G4;Allegiant Air;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;214;0;22;;;;;;;;;;;;;;;
G4;Allegiant Air;XNA;Fayetteville; AR: Northwest Arkansas Regional;42;0;2;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;BOS;Boston; MA: Logan International;23;0;0;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;HNL;Honolulu; HI: Daniel K Inouye International;2975;1;77;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;ITO;Hilo; HI: Hilo International;519;0;9;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;JFK;New York; NY: John F. Kennedy International;31;0;1;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;KOA;Kona; HI: Ellison Onizuka Kona International at Keahole;740;0;12;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;LAS;Las Vegas; NV: McCarran International;84;0;1;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;LAX;Los Angeles; CA: Los Angeles International;186;0;7;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;LGB;Long Beach; CA: Long Beach Airport;31;0;0;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;LIH;Lihue; HI: Lihue Airport;773;0;11;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;OAK;Oakland; CA: Metropolitan Oakland International;93;0;6;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;OGG;Kahului; HI: Kahului Airport;1352;1;12;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;PDX;Portland; OR: Portland International;62;0;3;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;PHX;Phoenix; AZ: Phoenix Sky Harbor International;31;0;0;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;PPG;Pago Pago; TT: Pago Pago International;9;0;0;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;SAN;San Diego; CA: San Diego International;62;0;2;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;SEA;Seattle; WA: Seattle/Tacoma International;62;0;9;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;SFO;San Francisco; CA: San Francisco International;62;0;1;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;SJC;San Jose; CA: Norman Y. Mineta San Jose International;62;0;1;;;;;;;;;;;;;;;
HA;Hawaiian Airlines Inc.;SMF;Sacramento; CA: Sacramento International;62;0;44583;;;;;;;;;;;;;;;
MQ;Envoy Air;ABE;Allentown/Bethlehem/Easton; PA: Lehigh Valley International;57;0;44674;;;;;;;;;;;;;;;
MQ;Envoy Air;ABI;Abilene; TX: Abilene Regional;206;1;16;;;;;;;;;;;;;;;
MQ;Envoy Air;ABQ;Albuquerque; NM: Albuquerque International Sunport;3;0;1;;;;;;;;;;;;;;;
MQ;Envoy Air;ACT;Waco; TX: Waco Regional;183;0;44759;;;;;;;;;;;;;;;
MQ;Envoy Air;AEX;Alexandria; LA: Alexandria International;93;1;12;;;;;;;;;;;;;;;
MQ;Envoy Air;AGS;Augusta; GA: Augusta Regional at Bush Field;2;0;0;;;;;;;;;;;;;;;
MQ;Envoy Air;ALB;Albany; NY: Albany International;5;0;0;;;;;;;;;;;;;;;
MQ;Envoy Air;ALO;Waterloo; IA: Waterloo Regional;62;0;4;;;;;;;;;;;;;;;
MQ;Envoy Air;AMA;Amarillo; TX: Rick Husband Amarillo International;89;1;3;;;;;;;;;;;;;;;
MQ;Envoy Air;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;35;0;44615;;;;;;;;;;;;;;;
MQ;Envoy Air;ATW;Appleton; WI: Appleton International;89;0;5;;;;;;;;;;;;;;;
MQ;Envoy Air;AVP;Scranton/Wilkes-Barre; PA: Wilkes Barre Scranton International;62;0;44709;;;;;;;;;;;;;;;
MQ;Envoy Air;AZO;Kalamazoo; MI: Kalamazoo/Battle Creek International;84;0;8;;;;;;;;;;;;;;;
MQ;Envoy Air;BDL;Hartford; CT: Bradley International;86;0;6;;;;;;;;;;;;;;;
MQ;Envoy Air;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;119;1;10;;;;;;;;;;;;;;;
MQ;Envoy Air;BIL;Billings; MT: Billings Logan International;31;0;1;;;;;;;;;;;;;;;
MQ;Envoy Air;BMI;Bloomington/Normal; IL: Central Il Regional Airport at Bloomington;89;0;10;;;;;;;;;;;;;;;
MQ;Envoy Air;BNA;Nashville; TN: Nashville International;133;1;44872;;;;;;;;;;;;;;;
MQ;Envoy Air;BOS;Boston; MA: Logan International;2;0;0;;;;;;;;;;;;;;;
MQ;Envoy Air;BPT;Beaumont/Port Arthur; TX: Jack Brooks Regional;88;0;44818;;;;;;;;;;;;;;;
MQ;Envoy Air;BRO;Brownsville; TX: Brownsville South Padre Island International;24;0;4;;;;;;;;;;;;;;;
MQ;Envoy Air;BTR;Baton Rouge; LA: Baton Rouge Metropolitan/Ryan Field;109;0;44628;;;;;;;;;;;;;;;
MQ;Envoy Air;BUF;Buffalo; NY: Buffalo Niagara International;116;0;11;;;;;;;;;;;;;;;
MQ;Envoy Air;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;67;1;44634;;;;;;;;;;;;;;;
MQ;Envoy Air;BZN;Bozeman; MT: Bozeman Yellowstone International;2;0;0;;;;;;;;;;;;;;;
MQ;Envoy Air;CAE;Columbia; SC: Columbia Metropolitan;29;0;8;;;;;;;;;;;;;;;
MQ;Envoy Air;CAK;Akron; OH: Akron-Canton Regional;53;0;44655;;;;;;;;;;;;;;;
MQ;Envoy Air;CHA;Chattanooga; TN: Lovell Field;83;0;7;;;;;;;;;;;;;;;
MQ;Envoy Air;CHO;Charlottesville; VA: Charlottesville Albemarle;120;0;17;;;;;;;;;;;;;;;
MQ;Envoy Air;CHS;Charleston; SC: Charleston AFB/International;95;0;44587;;;;;;;;;;;;;;;
MQ;Envoy Air;CID;Cedar Rapids/Iowa City; IA: The Eastern Iowa;261;1;16;;;;;;;;;;;;;;;
MQ;Envoy Air;CLE;Cleveland; OH: Cleveland-Hopkins International;270;0;27;;;;;;;;;;;;;;;
MQ;Envoy Air;CLL;College Station/Bryan; TX: Easterwood Field;65;0;44701;;;;;;;;;;;;;;;
MQ;Envoy Air;CLT;Charlotte; NC: Charlotte Douglas International;434;1;48;;;;;;;;;;;;;;;
MQ;Envoy Air;CMH;Columbus; OH: John Glenn Columbus International;469;1;50;;;;;;;;;;;;;;;
MQ;Envoy Air;CMI;Champaign/Urbana; IL: University of Illinois/Willard;267;0;28;;;;;;;;;;;;;;;
MQ;Envoy Air;COU;Columbia; MO: Columbia Regional;58;0;5;;;;;;;;;;;;;;;
MQ;Envoy Air;CRP;Corpus Christi; TX: Corpus Christi International;50;0;3;;;;;;;;;;;;;;;
MQ;Envoy Air;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;464;2;39;;;;;;;;;;;;;;;
MQ;Envoy Air;CWA;Mosinee; WI: Central Wisconsin;83;0;10;;;;;;;;;;;;;;;
MQ;Envoy Air;DAY;Dayton; OH: James M Cox/Dayton International;199;0;12;;;;;;;;;;;;;;;
MQ;Envoy Air;DBQ;Dubuque; IA: Dubuque Regional;89;0;8;;;;;;;;;;;;;;;
MQ;Envoy Air;DCA;Washington; DC: Ronald Reagan Washington National;116;1;44783;;;;;;;;;;;;;;;
MQ;Envoy Air;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;5192;16;540;;;;;;;;;;;;;;;
MQ;Envoy Air;DLH;Duluth; MN: Duluth International;18;0;0;;;;;;;;;;;;;;;
MQ;Envoy Air;DRT;Del Rio; TX: Del Rio International;62;0;44600;;;;;;;;;;;;;;;
MQ;Envoy Air;DSM;Des Moines; IA: Des Moines International;173;1;23;;;;;;;;;;;;;;;
MQ;Envoy Air;DTW;Detroit; MI: Detroit Metro Wayne County;73;0;44713;;;;;;;;;;;;;;;
MQ;Envoy Air;ELP;El Paso; TX: El Paso International;62;0;3;;;;;;;;;;;;;;;
MQ;Envoy Air;ERI;Erie; PA: Erie International/Tom Ridge Field;29;0;1;;;;;;;;;;;;;;;
MQ;Envoy Air;EVV;Evansville; IN: Evansville Regional;140;0;13;;;;;;;;;;;;;;;
MQ;Envoy Air;EWR;Newark; NJ: Newark Liberty International;75;0;6;;;;;;;;;;;;;;;
MQ;Envoy Air;EYW;Key West; FL: Key West International;37;1;0;;;;;;;;;;;;;;;
MQ;Envoy Air;FAR;Fargo; ND: Hector International;148;0;44819;;;;;;;;;;;;;;;
MQ;Envoy Air;FAY;Fayetteville; NC: Fayetteville Regional/Grannis Field;58;0;6;;;;;;;;;;;;;;;
MQ;Envoy Air;FNT;Flint; MI: Bishop International;57;1;2;;;;;;;;;;;;;;;
MQ;Envoy Air;FSD;Sioux Falls; SD: Joe Foss Field;29;0;5;;;;;;;;;;;;;;;
MQ;Envoy Air;FSM;Fort Smith; AR: Fort Smith Regional;36;0;2;;;;;;;;;;;;;;;
MQ;Envoy Air;FWA;Fort Wayne; IN: Fort Wayne International;31;0;44582;;;;;;;;;;;;;;;
MQ;Envoy Air;GCK;Garden City; KS: Garden City Regional;62;0;44650;;;;;;;;;;;;;;;
MQ;Envoy Air;GGG;Longview; TX: East Texas Regional;89;0;3;;;;;;;;;;;;;;;
